[1]	[1]
[5,7,9,26,0,28,25,0,15,24,26,25,0,17,17,24,5,10,22,19,25,17,4,2,2,21,9,16,11,1,27,8,0,6,26,23,27,21,23,12,7,11,29,7,20,16,2,26,27,16,7,14,3,11,16,27,25,18,13]	[5,7,9,26,0,28,25,0,15,24,26,25,0,17,17,24,5,10,22,19,25,17,4,2,2,21,9,16,11,1,27,8,0,6,26,23,27,21,23,12,7,11,29,7,20,16,2,26,27,16,7,14,3,11,18,13,16,25,27]
[11,11,6,4,9,2,27,6,15,12,11,15,24,10,22,14,27,24,2,16,3,9,0,6,13,9,26,8,27,9,6,8,20,4,12,0,28,1,28,5,14,9,20,0,12,13,6,9,29,1,17,2,10,9,1,15,18,27]	[11,11,6,4,9,2,27,6,15,12,11,15,24,10,22,14,27,24,2,16,3,9,0,6,13,9,26,8,27,9,6,8,20,4,12,0,28,1,28,5,14,9,20,0,12,13,6,9,29,1,17,2,10,9,1,15,27,18]
[15,28,21,16,11,25,20,3,23,22,1,29,28,3,19,20,15,2,26,16,24,27,3,26,0,4,19,15,23,8,1,0,7,22,8,18,18,29,21,3,13,14,24,11,9,14,23,24,8,19,2,2,9]	[15,28,21,16,11,25,20,3,23,22,1,29,28,3,19,20,15,2,26,16,24,27,3,26,0,4,19,15,23,8,1,0,7,22,8,18,18,29,21,3,13,14,24,11,9,14,23,24,8,19,2,9,2]
[21,9,2,2,16,25,11,17,17,10,2,26,28,12,25,11,15,0,17,10,11,27,16,26,13,16,15,16,19,16,5,2,17,7,4,26,24,7,13,12,17,7,0,7,19,25,10,27,25,28,29,28,17,15,24,22,1]	[21,9,2,2,16,25,11,17,17,10,2,26,28,12,25,11,15,0,17,10,11,27,16,26,13,16,15,16,19,16,5,2,17,7,4,26,24,7,13,12,17,7,0,7,19,25,10,27,25,28,29,28,17,22,1,15,24]
[0,12,10,6,6,27,5,11,15,0,18,29,4,28,28,4,5,18,21,16,7,8,6,6,28,15,13,14,7,6,7,8,19,17,14,17,7,11,28,22,11,9,13,7,7,12,3,4,22,24,20]	[0,12,10,6,6,27,5,11,15,0,18,29,4,28,28,4,5,18,21,16,7,8,6,6,28,15,13,14,7,6,7,8,19,17,14,17,7,11,28,22,11,9,13,7,7,12,3,4,24,20,22]
[24,18,27,22,3,2,6,11,8,14,11,19,1,17,7,0,28,27,23,2,28,28,9,5,10,5,2,24,29,14,15,16,3,4,8,28,6,15,1,7,21,12,18,14,21,25,15,20,15,0,22]	[24,18,27,22,3,2,6,11,8,14,11,19,1,17,7,0,28,27,23,2,28,28,9,5,10,5,2,24,29,14,15,16,3,4,8,28,6,15,1,7,21,12,18,14,21,25,15,20,15,22,0]
[28,23,11,1,28,13,17,20,19,3,6,22,7,14,21,6,21,14,13,4,27,23,19,18,11,26,0,26,26,22,1,16,8,4,9,6,9,27,26,29,22,24,21,21,9,4,27,22,19,2,27,8,26]	[28,23,11,1,28,13,17,20,19,3,6,22,7,14,21,6,21,14,13,4,27,23,19,18,11,26,0,26,26,22,1,16,8,4,9,6,9,27,26,29,22,24,21,21,9,4,27,22,19,2,27,26,8]
[18,7,4,19,25,22,3,26,0,3,1,10,10,10,29,28,9,21,23,23,4,24,19,24,8,0,26,27,8,14,5,19,13,9,8,0,1,3,19,24,7,12,26,9,14,25,29,24,8,14,9,12,0,20,6,9,21,25]	[18,7,4,19,25,22,3,26,0,3,1,10,10,10,29,28,9,21,23,23,4,24,19,24,8,0,26,27,8,14,5,19,13,9,8,0,1,3,19,24,7,12,26,9,14,25,29,24,8,14,9,12,0,20,6,9,25,21]
[29,1,12,10,7,13,10,7,7,14,18,1,13,0,27,22,15,22,13,1,22,28,10,26,28,0,3,7,21,20,6,13,13,10,15,20,23,26,20,0,2,8,23,15,9,20,29,16,4,12,17,26,10,27,15,1]	[29,1,12,10,7,13,10,7,7,14,18,1,13,0,27,22,15,22,13,1,22,28,10,26,28,0,3,7,21,20,6,13,13,10,15,20,23,26,20,0,2,8,23,15,9,20,29,16,4,12,17,26,15,1,10,27]
[10,0,3,0,6,8,5,16,23,26,2,11,8,24,13,8,18,28,9,8,19,25,5,24,12,23,4,1,8,27,13,18,28,16,10,4,16,16,13,1,4,15,13,12,9,26,20,27,17,22,28,6,17,3,0,0,18,27,1]	[10,0,3,0,6,8,5,16,23,26,2,11,8,24,13,8,18,28,9,8,19,25,5,24,12,23,4,1,8,27,13,18,28,16,10,4,16,16,13,1,4,15,13,12,9,26,20,27,17,22,28,6,17,3,0,0,27,1,18]
[24,14,15,14,22,18,19,0,4,24,2,8,9,7,12,10,3,24,0,12,16,20,11,4,15,3,26,3,22,27,0,17,4,8,1,18,26,12,19,22,6,13,22,7,20,4,10,15,28,10,20,7,0,1,3,7,4]	[24,14,15,14,22,18,19,0,4,24,2,8,9,7,12,10,3,24,0,12,16,20,11,4,15,3,26,3,22,27,0,17,4,8,1,18,26,12,19,22,6,13,22,7,20,4,10,15,28,10,20,7,0,1,4,3,7]
[100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100]
