{}, {}	{}	
{-27,-27,-23,-22,-22,-21,-15,-14,-13,-12,-12,-11,-10,-9,-6,-6,-5,-4,-2,-1,1,1,1,7,7,8,10,10,12,13,15,17,19,20,20,21,22,24,27,27,27,27}, {-30,-26,-24,-22,-22,-18,-17,-16,-15,-14,-13,-12,-11,-11,-6,-5,-5,-1,-1,-1,2,2,3,4,9,9,16,18,20,21,23,23,25,27,28,28,28,29}	{-30,-27,-27,-26,-24,-23,-22,-22,-22,-22,-21,-18,-17,-16,-15,-15,-14,-14,-13,-13,-12,-12,-12,-11,-11,-11,-10,-9,-6,-6,-6,-5,-5,-5,-4,-2,-1,-1,-1,-1,1,1,1,2,2,3,4,7,7,8,9,9,10,10,12,13,15,16,17,18,19,20,20,20,21,21,22,23,23,24,25,27,27,27,27,27,28,28,28,29}	
{-20,-18,-17,-17,-15,-10,-5,-5,-3,1,5,7,8,9,10,13,14,14,15,17,18,18,21,24,27}, {-22,-17,-17,-15,-15,-11,-10,-7,-6,-4,-4,-2,2,2,5,6,7,8,9,13,16,24,25,26,27}	{-22,-20,-18,-17,-17,-17,-17,-15,-15,-15,-11,-10,-10,-7,-6,-5,-5,-4,-4,-3,-2,1,2,2,5,5,6,7,7,8,8,9,9,10,13,13,14,14,15,16,17,18,18,21,24,24,25,26,27,27}	
{-19,-11,-3,3,6,11,14,24,28}, {-30,-24,-20,-20,-15,-15,-14,-14,-13,-13,-13,-12,-9,-6,-5,-5,-3,-3,-1,0,2,2,3,4,6,7,7,7,8,8,8,11,11,11,15,16,17,18,19,19,22,23,23,23,23,26,29}	{-30,-24,-20,-20,-19,-15,-15,-14,-14,-13,-13,-13,-12,-11,-9,-6,-5,-5,-3,-3,-3,-1,0,2,2,3,3,4,6,6,7,7,7,8,8,8,11,11,11,11,14,15,16,17,18,19,19,22,23,23,23,23,24,26,28,29}	
{-30,-29,-27,-24,-24,-24,-23,-20,-19,-18,-17,-14,-14,-13,-11,-11,-7,-7,-6,-5,-4,-4,4,5,8,8,8,8,11,12,14,14,14,16,16,17,17,17,18,18,20,21,23,26,26,26,27,27,29}, {-30,-24,-22,-21,-11,-9,-7,-6,1,3,4,8,12,18,21,24,28}	{-30,-30,-29,-27,-24,-24,-24,-24,-23,-22,-21,-20,-19,-18,-17,-14,-14,-13,-11,-11,-11,-9,-7,-7,-7,-6,-6,-5,-4,-4,1,3,4,4,5,8,8,8,8,8,11,12,12,14,14,14,16,16,17,17,17,18,18,18,20,21,21,23,24,26,26,26,27,27,28,29}	
{-28,-27,-27,-26,-25,-25,-24,-21,-18,-18,-16,-14,-14,-13,-12,-6,-5,-5,2,3,3,6,7,8,9,11,12,15,15,19,21,23,28,28}, {-27,-23,-20,-18,-18,-13,-13,-8,-8,-7,-5,-2,-2,0,4,7,8,10,12,13,16,20,24,25,25,27}	{-28,-27,-27,-27,-26,-25,-25,-24,-23,-21,-20,-18,-18,-18,-18,-16,-14,-14,-13,-13,-13,-12,-8,-8,-7,-6,-5,-5,-5,-2,-2,0,2,3,3,4,6,7,7,8,8,9,10,11,12,12,13,15,15,16,19,20,21,23,24,25,25,27,28,28}	
{-28,-26,-25,-24,-24,-21,-17,-12,-7,-4,-2,-1,0,9,14,17,21,22,24,25,27,28}, {-27,-26,-25,-24,-22,-20,-20,-18,-17,-16,-15,-14,-12,-12,-4,-3,1,3,4,4,5,6,7,10,12,13,18,20,21,21,21,23,24,26,28}	{-28,-27,-26,-26,-25,-25,-24,-24,-24,-22,-21,-20,-20,-18,-17,-17,-16,-15,-14,-12,-12,-12,-7,-4,-4,-3,-2,-1,0,1,3,4,4,5,6,7,9,10,12,13,14,17,18,20,21,21,21,21,22,23,24,24,25,26,27,28,28}	
{-28,-26,-26,-22,-21,-20,-20,-18,-16,-15,-10,-9,-5,-3,-2,3,10,19,22,24,27}, {-30,-29,-28,-24,-24,-24,-23,-15,-9,-8,-6,-6,-3,-3,-3,-2,0,4,5,5,6,12,13,14,15,18,18,19,19,20,21,21,22,25,25,28,29,29}	{-30,-29,-28,-28,-26,-26,-24,-24,-24,-23,-22,-21,-20,-20,-18,-16,-15,-15,-10,-9,-9,-8,-6,-6,-5,-3,-3,-3,-3,-2,-2,0,3,4,5,5,6,10,12,13,14,15,18,18,19,19,19,20,21,21,22,22,24,25,25,27,28,29,29}	
{-29,-29,-28,-26,-23,-22,-16,-14,-14,-9,-8,-4,-3,-3,-2,0,1,4,9,9,10,11,13,16,17,25,25,25,27,27,28,29}, {-19,-15,0,0,0,28}	{-29,-29,-28,-26,-23,-22,-19,-16,-15,-14,-14,-9,-8,-4,-3,-3,-2,0,0,0,0,1,4,9,9,10,11,13,16,17,25,25,25,27,27,28,28,29}	
{-30,-27,-26,-25,-23,-23,-22,-20,-18,-16,-16,-12,-9,-7,-1,-1,-1,0,8,8,10,16,18,19,19,19,20,22,22,24,29}, {-30,-29,-26,-23,-15,-14,-14,-13,-13,18,22}	{-30,-30,-29,-27,-26,-26,-25,-23,-23,-23,-22,-20,-18,-16,-16,-15,-14,-14,-13,-13,-12,-9,-7,-1,-1,-1,0,8,8,10,16,18,18,19,19,19,20,22,22,22,24,29}	
{}, {-27,-21,-13,-13,-12,-9,-8,-7,-6,-6,0,1,4,5,7,10,10,16,18,26,29}	{-27,-21,-13,-13,-12,-9,-8,-7,-6,-6,0,1,4,5,7,10,10,16,18,26,29}	
{-30,-28,-27,-26,-24,-24,-23,-23,-21,-21,-19,-18,-17,-16,-15,-13,-11,-11,-10,-9,-8,-7,-7,-5,-5,-4,-4,-3,-2,-2,0,1,7,8,9,9,10,10,12,14,17,18,18,19,21,25,29}, {-24,-7,1,7,19,27}	{-30,-28,-27,-26,-24,-24,-24,-23,-23,-21,-21,-19,-18,-17,-16,-15,-13,-11,-11,-10,-9,-8,-7,-7,-7,-5,-5,-4,-4,-3,-2,-2,0,1,1,7,7,8,9,9,10,10,12,14,17,18,18,19,19,21,25,27,29}	
{-30,-29,-28,-28,-27,-25,-24,-24,-22,-22,-19,-16,-14,-14,-10,-10,-9,-8,-7,-4,-1,0,0,1,1,2,4,4,5,7,8,8,8,10,11,11,12,13,14,14,20,29,29}, {-24,-22,-17,-17,-16,-16,-15,-15,-11,-11,-10,-9,-9,-7,-7,-6,0,0,4,4,7,9,12,13,17,19,20,21,21,24,24}	{-30,-29,-28,-28,-27,-25,-24,-24,-24,-22,-22,-22,-19,-17,-17,-16,-16,-16,-15,-15,-14,-14,-11,-11,-10,-10,-10,-9,-9,-9,-8,-7,-7,-7,-6,-4,-1,0,0,0,0,1,1,2,4,4,4,4,5,7,7,8,8,8,9,10,11,11,12,12,13,13,14,14,17,19,20,20,21,21,24,24,29,29}	
{-26,-22,0,26}, {-28,-22,-20,-20,-18,-16,-16,-16,-14,-11,-10,-9,-6,-5,-2,-1,-1,4,5,7,8,8,10,13,13,14,16,18,24}	{-28,-26,-22,-22,-20,-20,-18,-16,-16,-16,-14,-11,-10,-9,-6,-5,-2,-1,-1,0,4,5,7,8,8,10,13,13,14,16,18,24,26}	
{-24,-18,6,16}, {-17}	{-24,-18,-17,6,16}	
{-30,-28,-27,-23,-22,-19,-18,-17,-9,-7,-7,-6,-1,1,2,2,2,3,4,4,5,5,7,8,9,12,14,15,17,20,23,24,25,27}, {}	{-30,-28,-27,-23,-22,-19,-18,-17,-9,-7,-7,-6,-1,1,2,2,2,3,4,4,5,5,7,8,9,12,14,15,17,20,23,24,25,27}	
